kota,kecamatan,banjir_count
Kota Balikpapan,Balikpapan Selatan,6
Kota Balikpapan,Balikpapan Kota,2
Kota Balikpapan,Balikpapan Timur,4
Kota Balikpapan,Balikpapan Utara,2
Kota Balikpapan,Balikpapan Tengah,4
Kota Balikpapan,Balikpapan Barat,2
